,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액,창업비용,매출ratio
15,송산동,1087616,39204891377,음식,152,257926916.95394737,89000000,2.898055246673566
32,정방동,684580,24555916274,음식,143,171719694.22377622,89000000,1.9294347665592835
35,중앙동,684580,24555916274,음식,155,158425266.28387097,89000000,1.7800591717288872
36,천지동,816266,28003399387,음식,220,127288179.03181818,89000000,1.4302042587844739
3,노형동,1505234,51892607922,음식,861,60270160.18815331,89000000,0.6771928111028462
22,오라동,288426,8720145742,음식,148,58919903.66216216,89000000,0.6620213894624962
16,아라동,800117,24975055509,음식,454,55011135.482378855,89000000,0.6181026458694253
25,용담2동,576652,14969147221,음식,279,53652857.42293907,89000000,0.6028410946397649
0,건입동,235379,8326356158,음식,159,52367019.86163522,89000000,0.588393481591407
21,예래동,265638,12613979914,음식,241,52340165.61825726,89000000,0.5880917485197446
19,연동,1239538,52262882930,음식,1062,49211754.17137477,89000000,0.5529410581053344
20,영천동,103484,3713270037,음식,77,48224286.1948052,89000000,0.541845912301182
28,이도2동,1471450,46886500716,음식,981,47794598.0795107,89000000,0.5370179559495585
31,일도2동,507779,16262919821,음식,373,43600321.23592493,89000000,0.4898912498418531
34,중문동,276478,11772691013,음식,281,41895697.55516014,89000000,0.47073817477708024
12,삼양동,338774,9364047883,음식,232,40362275.35775862,89000000,0.4535087118849283
8,동홍동,308887,11297287404,음식,284,39779181.0,89000000,0.44695708988764044
11,삼도2동,219932,8050837626,음식,215,37445756.4,89000000,0.4207388359550562
7,도두동,151815,6297049734,음식,177,35576552.16949152,89000000,0.3997365412302418
13,서홍동,131686,3447483113,음식,98,35178399.1122449,89000000,0.39526291137353814
41,화북동,258470,7824392096,음식,229,34167651.074235804,89000000,0.38390619184534613
23,외도동,324592,10154518317,음식,302,33624232.83774834,89000000,0.37780036896346453
6,대천동,238757,6863190482,음식,205,33478977.96097561,89000000,0.3761682916963552
18,애월읍,787250,26992281558,음식,843,32019313.829181496,89000000,0.35976757111439883
29,이호동,51433,2185072494,음식,70,31215321.34285714,89000000,0.35073394767255217
4,대륜동,280970,8921240742,음식,295,30241494.040677965,89000000,0.3397920678727861
5,대정읍,376799,14847802229,음식,502,29577295.27689243,89000000,0.3323291604145217
33,조천읍,564229,19458786956,음식,673,28913502.16344725,89000000,0.32487081082525
14,성산읍,454499,17177623139,음식,609,28206277.73234811,89000000,0.31692446890278775
9,봉개동,68471,1993691220,음식,71,28080158.028169014,89000000,0.31550739357493274
17,안덕면,339291,14559922680,음식,521,27946108.790786948,89000000,0.3140012223683927
24,용담1동,96194,4583767849,음식,165,27780411.206060607,89000000,0.31213945175348995
42,효돈동,87773,2497370120,음식,91,27443627.69230769,89000000,0.30835536732929986
40,한림읍,511357,19469817034,음식,724,26892012.477900557,89000000,0.3021574435719164
30,일도1동,190336,4798301241,음식,180,26657229.116666667,89000000,0.29951942827715355
10,삼도1동,141186,4604730225,음식,181,25440498.480662983,89000000,0.28584829753553914
38,표선면,230240,9667801841,음식,425,22747769.037647057,89000000,0.2555929105353602
27,이도1동,160517,5016874855,음식,234,21439636.132478632,89000000,0.2408947880053779
1,구좌읍,444206,14075039261,음식,693,20310301.963924963,89000000,0.2282056400441007
2,남원읍,202722,7533086862,음식,380,19823912.794736844,89000000,0.22274059319929038
39,한경면,146761,5329274910,음식,300,17764249.7,89000000,0.19959831123595506
37,추자면,14303,800833103,음식,48,16684022.979166666,89000000,0.18746093235018726
26,우도면,102570,2695144599,음식,183,14727566.114754098,89000000,0.16547827095229323
