,읍면동명,연령대,이용금액
0,강정동,314210.0,15826640656
1,건입동,402090.0,22335950067
2,구좌읍,408440.0,25295161055
3,남원읍,426920.0,27531663612
4,내도동,152210.0,1679003436
5,노형동,523960.0,115057646769
6,대정읍,432630.0,30300086965
7,대포동,166270.0,3863914007
8,도남동,336000.0,41444624176
9,도두이동,129420.0,3486073674
10,도두일동,284640.0,10499393800
11,도련이동,92190.0,847209955
12,도련일동,272290.0,11211877732
13,도순동,83950.0,535335318
14,도평동,85840.0,1145901369
15,동홍동,397180.0,30803617125
16,법환동,335900.0,20908000684
17,보목동,140330.0,1154528157
18,봉개동,213120.0,6258144851
19,삼도이동,347750.0,29195493507
20,삼도일동,341460.0,16490014407
21,삼양삼동,46040.0,336118776
22,삼양이동,259680.0,7363927963
23,삼양일동,135500.0,2466346691
24,상예동,180150.0,3994547664
25,상효동,147270.0,8805341576
26,색달동,345720.0,31261835194
27,서귀동,455760.0,55783095064
28,서호동,249360.0,8145576545
29,서홍동,302940.0,6929651959
30,성산읍,505430.0,41640865517
31,신효동,96650.0,1407493210
32,아라이동,263880.0,15082262755
33,아라일동,311260.0,21542627336
34,안덕면,460950.0,37409254349
35,애월읍,469130.0,64764042489
36,연동,576120.0,160362236957
37,영남동,6250.0,87647746
38,영평동,131720.0,1474464214
39,오등동,149020.0,3860080519
40,오라삼동,168400.0,5822063635
41,오라이동,252650.0,13114773598
42,오라일동,205460.0,5733115199
43,외도이동,146400.0,1644861466
44,외도일동,304180.0,16775154350
45,용강동,8100.0,32982000
46,용담삼동,258040.0,9296378923
47,용담이동,393780.0,128074528890
48,용담일동,315440.0,9595555449
49,우도면,282050.0,7556648383
50,월평동,119970.0,638214926
51,이도이동,430210.0,57590928174
52,이도일동,405340.0,22523388539
53,이호이동,196100.0,4287038732
54,이호일동,156750.0,2326451202
55,일도이동,415010.0,51462221020
56,일도일동,381960.0,26374840515
57,조천읍,510420.0,42507941283
58,중문동,412640.0,24458884831
59,추자면,156320.0,1653474820
60,토평동,237840.0,12381944705
61,표선면,460520.0,25685800375
62,하예동,120780.0,1233793278
63,하원동,98570.0,1329670063
64,하효동,262380.0,3736764815
65,한경면,351740.0,12091526851
66,한림읍,494180.0,41868953043
67,해안동,180590.0,4657391236
68,호근동,163400.0,3999279217
69,화북이동,192050.0,7807841067
70,화북일동,331320.0,16532549343
71,회수동,109660.0,1681445274
72,회천동,92800.0,3720556470
