,읍면동명,이용자수,이용금액,업종명
0,건입동,9240,431720730,문화레저
1,구좌읍,3349,99702350,문화레저
2,남원읍,3177,143692623,문화레저
3,노형동,10831,1968764080,문화레저
4,대륜동,372,99635200,문화레저
5,대정읍,7939,610357789,문화레저
6,대천동,40,19419000,문화레저
7,도두동,6728,248220900,문화레저
8,동홍동,14440,1046820327,문화레저
9,삼도1동,1920,593586280,문화레저
10,삼도2동,3816,420807658,문화레저
11,삼양동,10298,386228649,문화레저
12,서홍동,85,80495220,문화레저
13,성산읍,3353,254941750,문화레저
14,송산동,49830,5634553308,문화레저
15,아라동,5634,633881510,문화레저
16,안덕면,1986,135499450,문화레저
17,애월읍,10984,322631579,문화레저
18,연동,45576,6648606611,문화레저
19,영천동,1274,169131410,문화레저
20,예래동,6813,556239050,문화레저
21,오라동,8679,1136485853,문화레저
22,외도동,4262,149968300,문화레저
23,용담1동,1587,156303439,문화레저
24,용담2동,4108,214288234,문화레저
25,우도면,9024,393045450,문화레저
26,이도1동,4130,491640077,문화레저
27,이도2동,17109,2124521422,문화레저
28,이호동,2176,110831759,문화레저
29,일도1동,86754,11100658240,문화레저
30,일도2동,10426,826370200,문화레저
31,정방동,34746,4492369871,문화레저
32,조천읍,11327,516264618,문화레저
33,중문동,6605,285914721,문화레저
34,중앙동,34746,4492369871,문화레저
35,천지동,34831,4572865091,문화레저
36,추자면,408,23445016,문화레저
37,표선면,10099,317270900,문화레저
38,한경면,2906,76881225,문화레저
39,한림읍,5491,229198185,문화레저
40,화북동,3605,398229858,문화레저
