,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액
0,건입동,19825,1774543459,숙박업,26,68251671.5
1,구좌읍,7010,511774005,숙박업,98,5222183.724489796
2,남원읍,6033,841678914,숙박업,56,15029980.607142856
3,노형동,13869,1845526140,숙박업,28,65911647.85714286
4,대륜동,13469,1673873430,숙박업,22,76085155.9090909
5,대정읍,7480,418881205,숙박업,60,6981353.416666667
6,대천동,14231,1667039113,숙박업,18,92613284.05555555
7,도두동,2016,325178051,숙박업,17,19128120.647058822
8,동홍동,1354,106595648,숙박업,8,13324456.0
9,봉개동,306,21720780,숙박업,4,5430195.0
10,삼도1동,9049,920387973,숙박업,50,18407759.46
11,삼도2동,20748,4885185861,숙박업,31,157586640.67741936
12,삼양동,1286,147830260,숙박업,9,16425584.444444444
13,서홍동,1747,193416745,숙박업,4,48354186.25
14,성산읍,23049,2382586868,숙박업,111,21464746.558558557
15,송산동,47826,4251484853,숙박업,49,86764997.0
16,아라동,4641,862881384,숙박업,3,287627128.0
17,안덕면,7416,639072050,숙박업,91,7022769.78021978
18,애월읍,37012,3766002728,숙박업,184,20467406.13043478
19,연동,78211,14514851624,숙박업,79,183732299.0379747
20,영천동,17344,1472723935,숙박업,16,92045245.9375
21,예래동,62450,27392932230,숙박업,49,559039433.2653061
22,오라동,2608,202957373,숙박업,13,15612105.615384616
23,외도동,11982,757069140,숙박업,14,54076367.14285714
24,용담1동,1340,276578704,숙박업,25,11063148.16
25,용담2동,3574,267540938,숙박업,24,11147539.083333334
26,우도면,1026,52744528,숙박업,16,3296533.0
27,이도1동,11703,1894995279,숙박업,56,33839201.41071428
28,이도2동,12348,1271173613,숙박업,26,48891292.807692304
29,이호동,1167,178768906,숙박업,11,16251718.727272727
30,일도1동,2907,165227650,숙박업,24,6884485.416666667
31,일도2동,2108,169663092,숙박업,41,4138124.1951219514
32,정방동,30688,2743967720,숙박업,26,105537220.0
33,조천읍,15079,1767278594,숙박업,108,16363690.685185185
34,중문동,19293,4217218373,숙박업,33,127794496.15151516
35,중앙동,30688,2743967720,숙박업,9,304885302.2222222
36,천지동,32435,2937384465,숙박업,44,66758737.84090909
37,추자면,907,128805700,숙박업,10,12880570.0
38,표선면,4752,386287650,숙박업,40,9657191.25
39,한경면,741,75207110,숙박업,33,2279003.3333333335
40,한림읍,17353,1387517077,숙박업,110,12613791.60909091
41,화북동,1,420000,숙박업,2,210000.0
42,효돈동,104,28767900,숙박업,7,4109700.0
